site,dec_tag,detected,reader,antenna
Upper Avochie,989.001039943798,14/04/2023,1,2
Lower Avochie,989.001039942197,14/04/2023,1,8
Upper Avochie,989.001039945068,14/04/2023,1,5
Lower Avochie,989.001039943365,14/04/2023,1,8
Lower Avochie,989.001039943508,14/04/2023,1,7
Lower Avochie,989.001039945100,14/04/2023,1,7
Upper Avochie,989.001039941040,14/04/2023,1,3
Lower Avochie,989.001039944492,14/04/2023,1,6
Upper Avochie,989.001039944584,14/04/2023,1,3
Lower Avochie,989.001039943829,14/04/2023,1,8
Upper Avochie,989.001039943790,13/04/2023,1,4
Lower Avochie,989.001039944766,13/04/2023,1,7
Upper Avochie,989.001039945351,13/04/2023,1,3
Upper Avochie,989.001039945082,13/04/2023,1,3
Upper Avochie,989.001039945161,13/04/2023,1,4
Lower Avochie,989.001039943835,13/04/2023,1,6
Upper Avochie,989.001039943504,13/04/2023,1,2
Upper Avochie,989.001039943610,13/04/2023,1,4
Upper Avochie,989.001039945285,13/04/2023,1,4
Upper Avochie,989.001039944753,13/04/2023,1,5
Upper Avochie,989.001039945232,13/04/2023,1,3
Lower Avochie,989.001039944913,13/04/2023,1,8
Upper Avochie,989.001039943670,13/04/2023,1,2
Upper Avochie,989.001039945281,13/04/2023,1,4
Lower Avochie,989.001039945238,13/04/2023,1,6
Lower Avochie,989.001039943789,13/04/2023,1,8
Upper Avochie,989.001039943789,13/04/2023,1,5
Upper Avochie,989.001039944252,13/04/2023,1,3
Lower Avochie,989.001039943367,13/04/2023,1,8
Upper Avochie,989.001039943367,13/04/2023,1,3
Lower Avochie,989.001039941011,13/04/2023,1,6
Upper Avochie,989.001039941011,13/04/2023,1,3
Upper Avochie,989.001039944658,13/04/2023,1,4
Lower Avochie,989.001039945124,13/04/2023,1,7
Upper Avochie,989.001039942233,13/04/2023,1,3
Upper Avochie,989.001039945312,13/04/2023,1,2
Upper Avochie,989.001039945190,13/04/2023,1,1
Upper Avochie,989.001039944025,13/04/2023,1,3
Upper Avochie,989.001039943428,13/04/2023,1,2
Lower Avochie,989.001039944746,13/04/2023,1,6
Upper Avochie,989.001039943482,13/04/2023,1,3
Upper Avochie,989.001039945083,13/04/2023,1,5
Lower Avochie,989.001039944902,13/04/2023,1,8
Lower Avochie,989.001039943953,13/04/2023,1,7
Lower Avochie,989.001039945310,13/04/2023,1,6
Lower Avochie,989.001039944469,13/04/2023,1,7
Upper Avochie,989.001039945085,13/04/2023,1,5
Upper Avochie,989.001039945200,13/04/2023,1,4
Lower Avochie,989.001039941009,13/04/2023,1,8
Upper Avochie,989.001039943876,13/04/2023,1,4
Lower Avochie,989.001039943392,23/03/2023,1,8
Lower Avochie,989.001039944784,22/03/2023,1,7
Upper Avochie,989.001039944784,22/03/2023,1,1
Lower Avochie,989.001039943687,21/03/2023,1,7
Lower Avochie,989.001039943389,20/03/2023,1,8
Upper Avochie,989.001039943389,20/03/2023,1,3
Upper Avochie,989.001039943389,20/03/2023,1,4
Upper Avochie,989.001039943952,19/03/2023,1,4
Lower Avochie,989.001039943784,17/03/2023,1,7
Upper Avochie,989.001039943799,17/03/2023,1,5
Upper Avochie,989.001039943540,16/03/2023,1,4
Upper Avochie,989.001039943574,16/03/2023,1,3
Upper Avochie,989.001039943464,15/03/2023,1,4
Upper Avochie,989.001039943778,14/03/2023,1,3
Lower Avochie,989.001039944831,14/03/2023,1,6
Upper Avochie,989.001039943522,14/03/2023,1,3
Blackwater,989.001039944108,11/05/2023,1,2
Blackwater,989.001039943814,11/05/2023,1,1
Blackwater,989.001039943486,10/05/2023,1,2
Blackwater,989.001039941105,10/05/2023,1,3
Blackwater,989.001039944323,10/05/2023,1,2
Blackwater,989.001039944323,10/05/2023,1,1
Blackwater,989.001039944143,10/05/2023,1,2
Blackwater,989.001039943855,09/05/2023,1,1
Blackwater,989.001039945254,09/05/2023,1,1
Blackwater,989.001039943785,09/05/2023,1,3
Blackwater,989.001039943611,09/05/2023,1,2
Blackwater,989.001039943593,09/05/2023,1,1
Blackwater,989.001039944641,08/05/2023,1,3
Blackwater,989.001039943619,08/05/2023,1,1
Blackwater,989.001039945347,07/05/2023,1,2
Blackwater,989.001039944539,07/05/2023,1,1
Blackwater,989.001039943779,07/05/2023,1,3
Blackwater,989.001039944508,06/05/2023,1,3
Blackwater,989.001039944682,06/05/2023,1,1
Blackwater,989.001039943830,04/05/2023,1,2
Blackwater,989.001039943483,01/05/2023,1,2
Blackwater,989.001039943483,01/05/2023,1,1
Blackwater,989.001039943680,12/04/2023,1,1
Blackwater,989.001039944069,12/04/2023,1,2
Blackwater,989.001039945196,12/04/2023,1,1
Blackwater,989.001039941040,12/04/2023,1,2
Blackwater,989.001039945318,12/04/2023,1,3
Blackwater,989.001039941086,12/04/2023,1,3
Blackwater,989.001039941017,12/04/2023,1,1
Blackwater,989.001039944294,12/04/2023,1,1
Blackwater,989.001039944144,12/04/2023,1,1
Blackwater,989.001039944909,12/04/2023,1,2
Blackwater,989.001039942246,12/04/2023,1,2
Blackwater,989.001039944920,12/04/2023,1,1
Blackwater,989.001039943719,12/04/2023,1,2
Blackwater,989.001039944214,12/04/2023,1,2
Blackwater,989.001039944338,12/04/2023,1,1
Blackwater,989.001039944528,12/04/2023,1,2
Blackwater,989.001039942197,12/04/2023,1,2
Blackwater,989.001039942197,12/04/2023,1,1
Blackwater,989.001039944174,12/04/2023,1,2
Blackwater,989.001039944154,12/04/2023,1,1
Blackwater,989.001039944583,12/04/2023,1,1
Blackwater,989.001039944734,12/04/2023,1,1
Blackwater,989.001039945300,12/04/2023,1,1
Blackwater,989.001039943516,12/04/2023,1,2
Blackwater,989.001039944309,12/04/2023,1,3
Blackwater,989.001039945075,12/04/2023,1,3
Blackwater,989.001039945127,12/04/2023,1,1
Blackwater,989.001039945126,12/04/2023,1,2
Blackwater,989.001039945537,12/04/2023,1,1
Blackwater,989.001039945326,12/04/2023,1,1
Blackwater,989.001039944551,12/04/2023,1,3
Blackwater,989.001039944593,12/04/2023,1,1
Blackwater,989.001039944848,12/04/2023,1,1
Blackwater,989.001039945289,12/04/2023,1,1
Blackwater,989.001039945161,12/04/2023,1,1
Blackwater,989.001039943604,12/04/2023,1,1
Blackwater,989.001039945275,12/04/2023,1,1
Blackwater,989.001039945207,12/04/2023,1,1
Blackwater,989.001039943608,12/04/2023,1,2
Blackwater,989.001039944153,12/04/2023,1,3
Blackwater,989.001039943530,12/04/2023,1,1
Blackwater,989.001039943404,12/04/2023,1,2
Blackwater,989.001039943848,12/04/2023,1,1
Blackwater,989.001039943697,12/04/2023,1,1
Blackwater,989.001039943529,12/04/2023,1,1
Blackwater,989.001039943424,12/04/2023,1,1
Blackwater,989.001039945211,12/04/2023,1,3
Blackwater,989.001039944855,12/04/2023,1,2
Blackwater,989.001039943617,12/04/2023,1,3
Blackwater,989.001039943970,12/04/2023,1,2
Blackwater,989.001039943637,12/04/2023,1,3
Blackwater,989.001039943637,12/04/2023,1,2
Blackwater,989.001039943887,12/04/2023,1,3
Blackwater,989.001039943790,12/04/2023,1,1
Blackwater,989.001039943892,12/04/2023,1,2
Blackwater,989.001039944766,12/04/2023,1,3
Blackwater,989.001039943397,12/04/2023,1,1
