site,dec_tag,detected,reader,antenna
XAD,989.001039944510,21/04/2023 00:22,1,4
XAD,989.001039944878,21/04/2023 00:01,1,5
XAD,989.001039945326,20/04/2023 17:59,1,4
XAD,989.001039945326,20/04/2023 17:58,1,4
XAD,989.001039945326,20/04/2023 17:57,1,4
XAD,989.001039945326,20/04/2023 17:56,1,4
XAD,989.001039945326,20/04/2023 17:55,1,4
XAD,989.001039945326,20/04/2023 17:54,1,4
XAD,989.001039945326,20/04/2023 17:53,1,4
XAD,989.001039945326,20/04/2023 17:52,1,4
XAD,989.001039945326,20/04/2023 17:51,1,4
XAD,989.001039945326,20/04/2023 04:43,1,5
XAD,989.001039944543,20/04/2023 02:44,1,5
XAD,989.001039945300,20/04/2023 00:35,1,4
XAD,989.001039945326,19/04/2023 18:59,1,3
XAD,989.001039945326,19/04/2023 18:29,1,3
XAD,989.001039945326,19/04/2023 18:27,1,3
XAD,989.001039945326,19/04/2023 18:23,1,3
XAD,989.001039945326,19/04/2023 18:22,1,3
XAD,989.001039945326,19/04/2023 18:11,1,4
XAD,989.001039945326,19/04/2023 17:17,1,4
XAD,989.001039945326,19/04/2023 05:09,1,5
XAD,989.001039945326,19/04/2023 05:08,1,5
XAD,989.001039944593,19/04/2023 02:22,1,5
XAD,989.001039943815,19/04/2023 02:15,1,4
XAD,989.001039943632,18/04/2023 22:02,1,8
XAD,989.001039945326,18/04/2023 18:29,1,3
XAD,989.001039945326,18/04/2023 18:28,1,3
XAD,989.001039945326,18/04/2023 18:27,1,3
XAD,989.001039945326,18/04/2023 18:26,1,3
XAD,989.001039945326,18/04/2023 18:26,1,2
XAD,989.001039945326,18/04/2023 18:24,1,2
XAD,989.001039945326,18/04/2023 18:23,1,3
XAD,989.001039945326,18/04/2023 18:22,1,3
XAD,989.001039945326,18/04/2023 18:21,1,3
XAD,989.001039945326,18/04/2023 18:20,1,4
XAD,989.001039945326,18/04/2023 18:13,1,4
XAD,989.001039945326,18/04/2023 18:05,1,5
XAD,989.001039945326,18/04/2023 08:17,1,5
XAD,989.001039945326,18/04/2023 08:16,1,5
XAD,989.001039945326,18/04/2023 08:12,1,5
XAD,989.001039945326,18/04/2023 08:11,1,5
XAD,989.001039945326,18/04/2023 08:10,1,5
XAD,989.001039945326,18/04/2023 08:09,1,5
XAD,989.001039945326,18/04/2023 08:07,1,5
XAD,989.001039945326,18/04/2023 06:40,1,5
XAD,989.001039945326,18/04/2023 06:39,1,5
XAD,989.001039945326,18/04/2023 06:20,1,5
XAD,989.001039945326,18/04/2023 06:15,1,5
XAD,989.001039945326,18/04/2023 06:09,1,5
XAD,989.001039945326,18/04/2023 06:06,1,5
XAD,989.001039945326,18/04/2023 06:04,1,5
XAD,989.001039945326,18/04/2023 06:03,1,5
XAD,989.001039945326,18/04/2023 06:02,1,5
XAD,989.001039945326,18/04/2023 06:01,1,5
XAD,989.001039945326,18/04/2023 06:00,1,5
XAD,989.001039944637,18/04/2023 02:32,1,7
XAD,989.001039944637,18/04/2023 02:31,1,5
XAD,989.001039944709,18/04/2023 01:41,1,3
XAD,989.001039945291,18/04/2023 00:16,1,2
XAD,989.001039943377,17/04/2023 23:20,1,7
XAD,989.001039943377,17/04/2023 23:19,1,2
XAD,989.001039944613,17/04/2023 22:34,1,5
XAD,989.001039945108,17/04/2023 22:10,1,4
XAD,989.001039945326,17/04/2023 18:06,1,4
XAD,989.001039945326,17/04/2023 18:05,1,4
XAD,989.001039945326,17/04/2023 18:04,1,4
XAD,989.001039945326,17/04/2023 18:03,1,4
XAD,989.001039945326,17/04/2023 18:02,1,4
XAD,989.001039945326,17/04/2023 18:01,1,4
XAD,989.001039945326,17/04/2023 18:00,1,4
XAD,989.001039945326,17/04/2023 17:59,1,4
XAD,989.001039945326,17/04/2023 17:58,1,4
XAD,989.001039945326,17/04/2023 17:57,1,4
